Item,Team,Cycle,Status,Health,Progress,OKRs,Appetite (weeks),ETA,Release,Blocked by,Blocking,Product,Owner,Parent item,Sub-item
Sub-item 1,,,Done,,,,,,,,,AgileCraft Pro,,SprintMaster Planning Module (https://www.notion.so/SprintMaster-Planning-Module-22c9c4db60488158a195d2ff5ccb8eff?pvs=21),
Sub-item 2,,,Backlog,,,,,,,,,AgileCraft Pro,,SprintMaster Planning Module (https://www.notion.so/SprintMaster-Planning-Module-22c9c4db60488158a195d2ff5ccb8eff?pvs=21),
Automated User Story Dependency Tracker,StriveForce Squad,Q1 2024,Development In Progress,On Track,0.5,Optimize Agile Delivery for AgileCraft Pro:,4,01/17/2024 → 02/13/2024,v.1.2,,,AgileCraft Pro,Myron Notion,,"Sub-item 1 (https://www.notion.so/Sub-item-1-22c9c4db6048810ebfc3eaa89e0e9891?pvs=21), Sub-item 2 (https://www.notion.so/Sub-item-2-22c9c4db60488183b022f3b9c6006d66?pvs=21)"
Sub-item 1,,,Development In Progress,,,,,,,,,AgileCraft Pro,,Automated User Story Dependency Tracker (https://www.notion.so/Automated-User-Story-Dependency-Tracker-22c9c4db604881ebaa4fef8464fb488e?pvs=21),
Sub-item 2,,,Done,,,,,,,,,AgileCraft Pro,,Automated User Story Dependency Tracker (https://www.notion.so/Automated-User-Story-Dependency-Tracker-22c9c4db604881ebaa4fef8464fb488e?pvs=21),
Visual Performance Analytics Dashboard,PinnacleCreators Team,Q4 2023,Done,On Track,1,Optimize Agile Delivery for AgileCraft Pro:,6,11/30/2023 → 01/11/2024,,,,AgileCraft Pro,Myron Notion,,"Sub-item 1 (https://www.notion.so/Sub-item-1-22c9c4db60488133b33cf1c35d43a1c9?pvs=21), Sub-item 2 (https://www.notion.so/Sub-item-2-22c9c4db6048811c8d25ce96c6495dc5?pvs=21)"
Sub-item 2,,,Done,,,,,,,,,AgileCraft Pro,,Visual Performance Analytics Dashboard (https://www.notion.so/Visual-Performance-Analytics-Dashboard-22c9c4db604881c3b3fbe666dfe467c7?pvs=21),
Sub-item 1,,,Done,,,,,,,,,AgileCraft Pro,,Visual Performance Analytics Dashboard (https://www.notion.so/Visual-Performance-Analytics-Dashboard-22c9c4db604881c3b3fbe666dfe467c7?pvs=21),
SocialMedia360 Insights,TechVanguard Alliance,Q1 2024,Discovery In Progress,At Risk,0,Boost MarketMagnet Xperience Reach and Impact,2,02/09/2024 → 03/20/2024,v.2.0,,,MarketMagnet Xperience,Myron Notion,,"Sub-item 1 (https://www.notion.so/Sub-item-1-22c9c4db604881f6b358e6cb947b3aca?pvs=21), Sub-item 2 (https://www.notion.so/Sub-item-2-22c9c4db60488125a41fca3565edb7c9?pvs=21)"
Sub-item 1,,,Backlog,,,,,,,,,MarketMagnet Xperience,,SocialMedia360 Insights (https://www.notion.so/SocialMedia360-Insights-22c9c4db604881639cc8d12708ddae7c?pvs=21),
Sub-item 2,,,Backlog,,,,,,,,,MarketMagnet Xperience,,SocialMedia360 Insights (https://www.notion.so/SocialMedia360-Insights-22c9c4db604881639cc8d12708ddae7c?pvs=21),
Influencer Engagement Scoreboard,TechVanguard Alliance,Q4 2024,Done,On Track,1,Boost MarketMagnet Xperience Reach and Impact,4,10/29/2023 → 11/26/2023,v.1.0,,,MarketMagnet Xperience,,,"Sub-item 1 (https://www.notion.so/Sub-item-1-22c9c4db604881d78359ef15ea87fec1?pvs=21), Sub-item 2 (https://www.notion.so/Sub-item-2-22c9c4db60488158a3e9de1e9df26cbf?pvs=21)"
Sub-item 1,,,Done,,,,,,,,,MarketMagnet Xperience,,Influencer Engagement Scoreboard (https://www.notion.so/Influencer-Engagement-Scoreboard-22c9c4db60488155b613e184936f9c0d?pvs=21),
Sub-item 2,,,Done,,,,,,,,,MarketMagnet Xperience,,Influencer Engagement Scoreboard (https://www.notion.so/Influencer-Engagement-Scoreboard-22c9c4db60488155b613e184936f9c0d?pvs=21),
AI-Powered Trend Predictions,TechVanguard Alliance,Q2 2024,Opportunity Backlog,On Track,0,Boost MarketMagnet Xperience Reach and Impact,6,01/01/2024 → 02/12/2024,,,,MarketMagnet Xperience,,,"Sub-item 1 (https://www.notion.so/Sub-item-1-22c9c4db604881ab9fa8c5fa440e1fca?pvs=21), Sub-item 2 (https://www.notion.so/Sub-item-2-22c9c4db604881ac9194f77f445dd5f0?pvs=21)"
Sub-item 2,,,Backlog,,,,,,,,,MarketMagnet Xperience,,AI-Powered Trend Predictions (https://www.notion.so/AI-Powered-Trend-Predictions-22c9c4db604881bbb51ac0f5b4bee5bc?pvs=21),
Sub-item 1,,,Backlog,,,,,,,,,MarketMagnet Xperience,,AI-Powered Trend Predictions (https://www.notion.so/AI-Powered-Trend-Predictions-22c9c4db604881bbb51ac0f5b4bee5bc?pvs=21),
